id,status,Timestamp,jenis layanan,Nama Mahasiswa,Program Studi,NIM
1,Sudah Dilayani,31/01/2026 8:14:55,Pendaftaran Semester Antara,Mikael Husada,Kimia,122000081
2,Pending,25/04/2026 1:20:11,Pendaftaran Semester Antara,Syahrul,Sains Data,122450013
3,Sudah Dilayani,31/01/2026 9:42:33,Pendaftaran Semester Antara,Silvi Nuraini,Fisika,122000082
4,Sudah Dilayani,31/01/2026 11:17:06,Pendaftaran Semester Antara,Bagus Pramono,Farmasi,122000083
5,Sudah Dilayani,01/02/2026 8:09:24,Pendaftaran Semester Antara,Naila Khairunisa,Biologi,122000084
6,Sudah Dilayani,01/02/2026 10:26:48,Pendaftaran Semester Antara,Ardi Syafitri,Matematika,122000085
7,Sudah Dilayani,01/02/2026 13:13:37,Pendaftaran Semester Antara,Latifa Mahesa,Sains Data,122000086
8,Sudah Dilayani,02/02/2026 8:22:16,Pendaftaran Semester Antara,Fauzi Wardani,Sains Aktuaria,122000087
9,Sudah Dilayani,02/02/2026 9:51:44,Pendaftaran Semester Antara,Karin Ramadhani,Magister Fisika,122000088
10,Sudah Dilayani,02/02/2026 12:08:29,Pendaftaran Semester Antara,Rafsan Pranata,Sains Lingkungan Kelautan,122000089
11,Sudah Dilayani,03/02/2026 8:18:53,Pendaftaran Semester Antara,Nazwa Anggraini,Sains Atmosfer dan Keplanetan,122000090
12,Pending,03/02/2026 10:11:27,Pendaftaran Semester Antara,Andika Permatasari,Kimia,122000091
13,Pending,03/02/2026 13:36:14,Pendaftaran Semester Antara,Tiyas Mukhlis,Fisika,122000092
14,Pending,04/02/2026 8:07:35,Pendaftaran Semester Antara,Raka Saputri,Farmasi,122000093
15,Pending,04/02/2026 9:45:58,Pendaftaran Semester Antara,Vania Rahman,Biologi,122000094
16,Pending,04/02/2026 11:59:22,Pendaftaran Semester Antara,Fikar Adelia,Matematika,122000095
17,Pending,05/02/2026 8:30:41,Pendaftaran Semester Antara,Ghea Prakoso,Sains Data,122000096
18,Pending,05/02/2026 10:24:11,Pendaftaran Semester Antara,Evan Nurhidayah,Sains Aktuaria,122000097
19,Pending,05/02/2026 13:10:56,Pendaftaran Semester Antara,Mila Fikri,Magister Fisika,122000098
20,Pending,06/02/2026 8:47:39,Pendaftaran Semester Antara,Ridho Larasati,Sains Lingkungan Kelautan,122000099
21,Pending,06/02/2026 11:05:18,Pendaftaran Semester Antara,Putri Alfarizi,Kimia,122000100
22,Pending,07/02/2026 8:32:46,Pendaftaran Semester Antara,Raka Pratama,Biologi,122000101
23,Pending,07/02/2026 10:39:59,Pendaftaran Semester Antara,Dinda Lestari,Farmasi,122000102
24,Pending,08/02/2026 8:47:12,Pendaftaran Semester Antara,Aldi Firmansyah,Matematika,122000103
25,Pending,08/02/2026 10:54:25,Pendaftaran Semester Antara,Mutiara Zahra,Fisika,122000104
26,Pending,09/02/2026 9:00:48,Pendaftaran Semester Antara,Yoga Prakoso,Sains Data,122000105
27,Pending,09/02/2026 11:07:11,Pendaftaran Semester Antara,Hanum Fadila,Sains Aktuaria,122000106
28,Pending,10/02/2026 9:14:24,Pendaftaran Semester Antara,Rendy Kurniawan,Magister Fisika,122000107
29,Pending,10/02/2026 11:21:37,Pendaftaran Semester Antara,Fitri Amalia,Sains Lingkungan Kelautan,122000108
30,Pending,11/02/2026 9:28:00,Pendaftaran Semester Antara,Bima Aditya,Kimia,122000109
31,Pending,11/02/2026 11:35:13,Pendaftaran Semester Antara,Alya Maharani,Biologi,122000110
32,Pending,12/02/2026 9:42:26,Pendaftaran Semester Antara,Wahyu Nugroho,Farmasi,122000111
33,Pending,12/02/2026 11:49:39,Pendaftaran Semester Antara,Citra Larasati,Matematika,122000112
34,Pending,13/02/2026 9:06:02,Pendaftaran Semester Antara,Taufik Hidayat,Fisika,122000113
35,Pending,13/02/2026 11:13:15,Pendaftaran Semester Antara,Vania Rahmadani,Sains Data,122000114
36,Pending,14/02/2026 9:20:28,Pendaftaran Semester Antara,Rafi Nasution,Sains Aktuaria,122000115
37,Pending,14/02/2026 11:27:41,Pendaftaran Semester Antara,Naura Fatimah,Magister Fisika,122000116
38,Pending,15/02/2026 9:34:04,Pendaftaran Semester Antara,Akbar Ridwan,Sains Lingkungan Kelautan,122000117
39,Pending,15/02/2026 11:41:17,Pendaftaran Semester Antara,Sekarsari Putri,Kimia,122000118
40,Pending,16/02/2026 9:48:30,Pendaftaran Semester Antara,Bayu Nugraha,Biologi,122000119
41,Pending,16/02/2026 11:55:43,Pendaftaran Semester Antara,Annisya Fitri,Farmasi,122000120
42,Pending,17/02/2026 9:12:06,Pendaftaran Semester Antara,Hamdan Fauzi,Matematika,122000121
43,Pending,17/02/2026 11:19:19,Pendaftaran Semester Antara,Monica Safira,Fisika,122000122
44,Pending,18/02/2026 9:26:32,Pendaftaran Semester Antara,Tegar Sanjaya,Sains Data,122000123
45,Pending,18/02/2026 11:33:45,Pendaftaran Semester Antara,Raisa Mahira,Sains Aktuaria,122000124
46,Pending,19/02/2026 9:40:08,Pendaftaran Semester Antara,Haikal Ramadhan,Magister Fisika,122000125
47,Pending,19/02/2026 11:47:21,Pendaftaran Semester Antara,Meyra Lestari,Sains Lingkungan Kelautan,122000126
48,Pending,20/02/2026 9:04:34,Pendaftaran Semester Antara,Agung Pratama,Kimia,122000127
49,Pending,20/02/2026 11:11:47,Pendaftaran Semester Antara,Felicia Anggraini,Biologi,122000128
50,Pending,21/02/2026 9:18:10,Pendaftaran Semester Antara,Farhan Akbar,Farmasi,122000129
51,Pending,21/02/2026 11:25:23,Pendaftaran Semester Antara,Vina Marlina,Matematika,122000130
52,Pending,22/02/2026 9:32:36,Pendaftaran Semester Antara,Rio Fernando,Fisika,122000131
53,Pending,22/02/2026 11:39:49,Pendaftaran Semester Antara,Diah Kartika,Sains Data,122000132
54,Pending,23/02/2026 9:46:12,Pendaftaran Semester Antara,Adam Rizaldi,Sains Aktuaria,122000133
55,Pending,23/02/2026 11:53:25,Pendaftaran Semester Antara,Tiara Novelia,Magister Fisika,122000134
