id,Status,Timestamp,Jenis Layanan,Nama Mahasiswa,Program Studi,NIM Mahasiswa
1,Sudah Dilayani,21/02/2026 8:08:37,Rekomendasi Beasiswa atau Lomba,Nayla Rahma,Kimia,122000141
2,Pending,25/04/2026 1:17:38,Rekomendasi Beasiswa atau Lomba,Syahrul,Sains Atmosfer dan Keplanetan,122450013
3,Sudah Dilayani,21/02/2026 9:52:14,Rekomendasi Beasiswa atau Lomba,Ardiansyah Putra,Fisika,122000142
4,Sudah Dilayani,21/02/2026 11:37:59,Rekomendasi Beasiswa atau Lomba,Salsa Khairani,Farmasi,122000143
5,Sudah Dilayani,22/02/2026 8:19:45,Rekomendasi Beasiswa atau Lomba,Fauzan Prameswari,Biologi,122000144
6,Pending,22/02/2026 10:11:08,Rekomendasi Beasiswa atau Lomba,Indira Maheswari,Matematika,122000145
7,Pending,22/02/2026 13:24:33,Rekomendasi Beasiswa atau Lomba,Rafif Hidayah,Sains Data,122000146
8,Pending,23/02/2026 8:27:56,Rekomendasi Beasiswa atau Lomba,Nadhif Saputra,Sains Aktuaria,122000147
9,Pending,23/02/2026 9:46:21,Rekomendasi Beasiswa atau Lomba,Tiara Oktaviana,Magister Fisika,122000148
10,Pending,23/02/2026 12:18:05,Rekomendasi Beasiswa atau Lomba,Dian Pratami,Sains Lingkungan Kelautan,122000149
11,Pending,24/02/2026 8:10:42,Rekomendasi Beasiswa atau Lomba,Gilbert Kusuma,Sains Atmosfer dan Keplanetan,122000150
12,Pending,24/02/2026 10:23:16,Rekomendasi Beasiswa atau Lomba,Naila Permatasari,Kimia,122000151
13,Pending,24/02/2026 13:07:51,Rekomendasi Beasiswa atau Lomba,Fikran Nurazka,Fisika,122000152
14,Pending,25/02/2026 8:33:09,Rekomendasi Beasiswa atau Lomba,Shafa Wulandari,Farmasi,122000153
15,Pending,25/02/2026 9:58:27,Rekomendasi Beasiswa atau Lomba,Rafael Cahyono,Biologi,122000154
16,Pending,25/02/2026 12:44:38,Rekomendasi Beasiswa atau Lomba,Mutia Rahmadani,Matematika,122000155
17,Pending,26/02/2026 8:16:24,Rekomendasi Beasiswa atau Lomba,Haidar Prakoso,Sains Data,122000156
18,Pending,26/02/2026 10:05:49,Rekomendasi Beasiswa atau Lomba,Keysa Nurfadila,Sains Aktuaria,122000157
19,Pending,26/02/2026 13:21:11,Rekomendasi Beasiswa atau Lomba,Farhan Mahesa,Magister Fisika,122000158
20,Pending,27/02/2026 8:41:57,Rekomendasi Beasiswa atau Lomba,Della Anggraini,Sains Lingkungan Kelautan,122000159
21,Pending,27/02/2026 11:09:30,Rekomendasi Beasiswa atau Lomba,Ihsan Rahmawan,Kimia,122000160
