id,status,timestamp,jenis_layanan,nama,program_studi,nim
1,Sudah Dilayani,2026-01-10 08:09:18,Besaran UKT,Luthfi Perdana,Biologi,122000021
2,Sudah Dilayani,2026-01-10 09:36:42,Besaran UKT,Aurel Safitri,Farmasi,122000022
3,Sudah Dilayani,2026-01-10 11:14:07,Besaran UKT,Reza Puspita,Sains Data,122000023
4,Sudah Dilayani,2026-01-11 08:21:56,Besaran UKT,Anisa Gunawan,Fisika,122000024
5,Sudah Dilayani,2026-04-23 00:45:46,Besaran UKT,dani,Farmasi,122340045
6,Pending,2026-04-23 00:47:34,Besaran UKT,ikbal,Sains Atmosfer dan Keplanetan,122340056
7,Pending,2026-04-25 01:27:52,Besaran UKT,Syahrul,Sains Data,122450013
8,Pending,2026-04-30 00:11:11,Besaran UKT,hermawan,Kimia,122459934
9,Pending,2026-05-13 10:20:27,Besaran UKT,syahrul,Sains Data,122450013
10,Pending,2026-05-19 22:55:52,Besaran UKT,syahrul,Sains Data,122450013
12,Pending,2026-05-22 23:35:53,Besaran UKT,syahrul,Sains Data,122450013
13,Sudah Dilayani,2026-01-11 10:48:33,Besaran UKT,Yusuf Anggraini,Kimia,122000025
14,Sudah Dilayani,2026-01-11 13:02:19,Besaran UKT,Dea Mahendra,Matematika,122000026
15,Sudah Dilayani,2026-01-12 08:17:24,Besaran UKT,Hafiz Novitasari,Magister Fisika,122000027
16,Sudah Dilayani,2026-01-12 09:55:41,Besaran UKT,Citra Wijaya,Sains Aktuaria,122000028
17,Sudah Dilayani,2026-01-12 12:43:15,Besaran UKT,Rafli Kusuma,Sains Lingkungan Kelautan,122000029
18,Sudah Dilayani,2026-01-13 08:28:37,Besaran UKT,Bella Hakim,Sains Atmosfer dan Keplanetan,122000030
19,Sudah Dilayani,2026-01-13 10:16:12,Besaran UKT,Iqbal Mardiana,Fisika,122000031
20,Pending,2026-01-13 13:09:44,Besaran UKT,Shafa Prasetyo,Kimia,122000032
21,Pending,2026-01-14 08:11:53,Besaran UKT,Hanif Lestari,Biologi,122000033
22,Pending,2026-01-14 09:47:28,Besaran UKT,Karina Santoso,Farmasi,122000034
23,Pending,2026-01-14 11:58:31,Besaran UKT,Wahyu Pangestu,Sains Data,122000035
24,Pending,2026-01-15 08:24:16,Besaran UKT,Amel Rahardjo,Matematika,122000036
25,Sudah Dilayani,2026-01-15 10:21:57,Besaran UKT,Daniel Mutia,Sains Aktuaria,122000037
26,Pending,2026-01-15 13:35:08,Besaran UKT,Salma Febrianto,Magister Fisika,122000038
27,Pending,2026-05-20 08:14:25,Besaran UKT,Aditya Prakoso,Matematika,122450112
28,Pending,2026-05-20 09:32:41,Besaran UKT,Nanda Putri,Biologi,122450113
29,Pending,2026-05-20 10:47:18,Besaran UKT,Fauzan Rizki,Kimia,122450114
30,Pending,2026-05-21 08:55:36,Besaran UKT,Salsabila Nur,Sains Data,122450115
31,Pending,2026-05-21 11:20:09,Besaran UKT,Bagas Maulana,Fisika,122450116
32,Pending,2026-05-22 09:03:44,Besaran UKT,Tiara Anggraini,Sains Aktuaria,122450117
33,Pending,2026-05-22 13:18:27,Besaran UKT,Rendi Saputra,Sains Atmosfer dan Keplanetan,122450118
34,Pending,2026-05-23 08:41:52,Besaran UKT,Melani Kartika,Sains Lingkungan Kelautan,122450119
35,Pending,2026-05-23 10:29:15,Besaran UKT,Irfan Hakim,Farmasi,122450120
36,Pending,2026-05-24 09:36:48,Besaran UKT,Dwi Lestari,Rekayasa Kehutanan,122450121
37,Pending,2026-05-24 14:02:31,Besaran UKT,Alif Firmansyah,Teknik Geologi,122450122
38,Pending,2026-05-25 08:27:59,Besaran UKT,Nadia Safitri,Teknik Geomatika,122450123
39,Pending,2026-05-25 11:45:06,Besaran UKT,Yoga Pratama,Teknik Informatika,122450124
40,Pending,2026-05-26 09:12:33,Besaran UKT,Putri Amalia,Teknik Elektro,122450125
41,Pending,2026-05-26 13:56:40,Besaran UKT,Fikri Ramadhan,Teknik Mesin,122450126
42,Pending,2026-05-27 08:34:21,Besaran UKT,Citra Maharani,Teknik Industri,122450127
43,Pending,2026-05-27 10:51:17,Besaran UKT,Rangga Aditya,Teknik Kimia,122450128
44,Pending,2026-05-28 09:22:45,Besaran UKT,Laras Permata,Teknik Fisika,122450129
45,Pending,2026-05-28 12:38:09,Besaran UKT,Rio Nugroho,Arsitektur,122450130
