id,status,timestamp,jenis_layanan,nama,program_studi,nim
1,Sudah Dilayani,2026-01-24 08:19:22,Keterangan Mahasiswa Aktif,Rafa Nurhalim,Farmasi,122000061
2,Pending,2026-04-25 01:25:03,Keterangan Mahasiswa Aktif,gina,Kimia,122450001
3,Sudah Dilayani,2026-01-24 09:58:17,Keterangan Mahasiswa Aktif,Gita Anggita,Biologi,122000062
4,Sudah Dilayani,2026-01-24 12:15:46,Keterangan Mahasiswa Aktif,Dion Pramesti,Sains Data,122000063
5,Sudah Dilayani,2026-01-25 08:11:39,Keterangan Mahasiswa Aktif,Siska Hidayati,Kimia,122000064
6,Sudah Dilayani,2026-01-25 10:06:25,Keterangan Mahasiswa Aktif,Reno Ardana,Fisika,122000065
7,Sudah Dilayani,2026-01-25 13:32:51,Keterangan Mahasiswa Aktif,Afifah Kusnadi,Matematika,122000066
8,Pending,2026-01-26 08:24:18,Keterangan Mahasiswa Aktif,Haikal Novita,Sains Aktuaria,122000067
9,Pending,2026-01-26 09:47:36,Keterangan Mahasiswa Aktif,Caca Pranoto,Sains Atmosfer dan Keplanetan,122000068
10,Pending,2026-01-26 11:54:09,Keterangan Mahasiswa Aktif,Surya Rahmani,Sains Lingkungan Kelautan,122000069
11,Pending,2026-01-27 08:08:43,Keterangan Mahasiswa Aktif,Anindya Fauzan,Magister Fisika,122000070
12,Pending,2026-01-27 10:21:57,Keterangan Mahasiswa Aktif,Rendy Azizah,Farmasi,122000071
13,Pending,2026-01-27 13:40:12,Keterangan Mahasiswa Aktif,Tiwi Maulana,Biologi,122000072
14,Pending,2026-01-28 08:16:28,Keterangan Mahasiswa Aktif,Zaki Wulandari,Kimia,122000073
15,Pending,2026-01-28 09:53:41,Keterangan Mahasiswa Aktif,Putri Adnan,Fisika,122000074
16,Pending,2026-01-28 12:27:34,Keterangan Mahasiswa Aktif,Daffa Oktaviani,Matematika,122000075
17,Pending,2026-01-29 08:31:50,Keterangan Mahasiswa Aktif,Nindy Saputra,Sains Data,122000076
18,Pending,2026-01-29 10:12:06,Keterangan Mahasiswa Aktif,Zahwan Rahma,Sains Aktuaria,122000077
19,Pending,2026-01-29 13:08:45,Keterangan Mahasiswa Aktif,Yasmin Permata,Magister Fisika,122000078
20,Pending,2026-01-30 08:44:13,Keterangan Mahasiswa Aktif,Iqra Prasetya,Sains Lingkungan Kelautan,122000079
21,Pending,2026-01-30 11:19:29,Keterangan Mahasiswa Aktif,Fina Mahardika,Farmasi,122000080
22,Pending,2026-01-31 08:26:41,Keterangan Mahasiswa Aktif,Raka Pratama,Kimia,122000081
23,Pending,2026-01-31 10:58:12,Keterangan Mahasiswa Aktif,Dinda Lestari,Biologi,122000082
24,Pending,2026-01-31 13:21:35,Keterangan Mahasiswa Aktif,Aldi Firmansyah,Sains Data,122000083
25,Pending,2026-02-01 08:39:44,Keterangan Mahasiswa Aktif,Mutiara Zahra,Sains Aktuaria,122000084
26,Pending,2026-02-01 11:07:23,Keterangan Mahasiswa Aktif,Yoga Prakoso,Magister Fisika,122000085
27,Pending,2026-02-02 09:14:56,Keterangan Mahasiswa Aktif,Hanum Fadila,Sains Lingkungan Kelautan,122000086
28,Pending,2026-02-02 13:32:18,Keterangan Mahasiswa Aktif,Rendy Kurniawan,Farmasi,122000087
29,Pending,2026-02-03 08:48:09,Keterangan Mahasiswa Aktif,Fitri Amalia,Fisika,122000088
30,Pending,2026-02-03 10:36:47,Keterangan Mahasiswa Aktif,Bima Aditya,Matematika,122000089
31,Pending,2026-02-04 09:22:31,Keterangan Mahasiswa Aktif,Alya Maharani,Sains Atmosfer dan Keplanetan,122000090
32,Pending,2026-02-04 12:54:08,Keterangan Mahasiswa Aktif,Wahyu Nugroho,Kimia,122000091
33,Pending,2026-02-05 08:17:52,Keterangan Mahasiswa Aktif,Citra Larasati,Biologi,122000092
34,Pending,2026-02-05 11:45:36,Keterangan Mahasiswa Aktif,Taufik Hidayat,Sains Data,122000093
